name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Programs	Geographic areas served	Results	Target demographics	Direct beneficiaries per year
Winterset Exchange Friendship Group Inc	http://		EIN 42-1389072	124 W Court Ave	Winterset	IA	50273	USA	International, International Academic Exchange						
Gray Community Betterment Corporation	http://		EIN 41-1180578	Po Box 5	Gray	IA	50110	USA	Neighborhood Centers						
Prairie Oak Residential Care Facility	http://		EIN 42-1438944	PO Box 436	West Burlington	IA	52655	USA	Health, Nursing Facilities, Seniors						
Animal Birth Control Inc	http://	(563) 243-6276	EIN 42-1293451	2733 N 4th St	Clinton	IA	52732	USA	Animal Protection & Welfare, Animals	To help end our community's pet overpopulation.	To help end our community's pet overpopulation crisis by helping pet owners pay for their pets' spay and neuter surgeries.				
Books From Bobby Inc	http://		EIN 46-2319517	4620 Se 3rd St	Des Moines	IA	50315	USA	Education						
The Family Leader Foundation Inc	http://www.thefamilyleader.com/inside-tfl/ifpc	(515) 263-3495	EIN 42-1461169	3020 104th St	Urbandale	IA	50322	USA	Education	To strengthen families by restoring and defending traditional moral principles in our culture by advocating for sound public policy.	The organization seeks to strengthen families by presenting a traditional foundation of principles and values for the well being of our society in the public policy arena. The organization hosts several events throughout the year (banquets, speaking engagements, hog roasts, etc. ), distributes dvd's and books promoting its message, and maintains a website, among other activities, to assist in efforts to raise the resources necessary to further its exempt purpose.				
Bishop Drumm Home For The Aged Guild	http://		EIN 42-1165614	5837 Winwood Dr	Johnston	IA	50131	USA							
Vail Swimming Pool Assoc	http://		EIN 42-0896016	207 3rd Ave	Vail	IA	51465	USA	Sports, Swimming & Other Water Recreation						
Southern University Alumni Federation	http://		EIN 42-1423140	1170 18TH St	Des Moines	IA	50314	USA							
Iowa Freedom Of Information Council	http://		EIN 42-1101492	Po Box 8002	Des Moines	IA	50301	USA	Homeless & Housing, Housing Support						
Holy Trinity Lutheran Church	http://		EIN 42-0841140	Po Box 125	Farnhamville	IA	50538	USA							
Christs Church Of Knoxville Iowa	http://		EIN 42-1154316	110 W Jefferson St	Knoxville	IA	50138	USA							
St Josephs R C Church	http://		EIN 42-0698059	Po Box 47	Dedham	IA	51440	USA							
Ames Childrens Choir Association Inc	http://ameschildrenschoirs.org	(515) 290-1422	EIN 39-1904496	Po Box 1965	Ames	IA	50010	USA	Arts & Culture, Singing & Choral Groups	Youth choral activities	70 youth rehearsed weekly and presented 2 major massed choir performances and numerous individual choir performances during the year (3 choirs). Music literacy, vocal techniques. Two choirs also toured within the midwest.				
Illuminating Engineering Society	http://		EIN 42-1395876	101 12TH St # 107	Des Moines	IA	50309	USA							
Mahaska County Humane Society	http://		EIN 06-1663480	2609 280th St	Oskaloosa	IA	52577	USA	Animal Protection & Welfare, Animals						
East Union Eagle Pride Booster Club	http://		EIN 42-1392036	Po Box 125	Afton	IA	50830	USA	Education						
Wright County District Junior Fair	http://www.wrightcofair.com	(515) 448-3351	EIN 42-0681156	Po Box 125	Eagle Grove	IA	50533	USA	Fairs, Sports	Organize, finance, and manage the annual district county fair to recognize area 4-h and ffa youth in wright and surrounding counties.	Organize, manage, and sponsor a five day annual county fair representing wright county and all surrounding counties.				
Youth Shelter Care Of North Central Iowa	http://www.yscncia.org	(515) 955-4222	EIN 42-1118784	301 Avenue M W	Fort Dodge	IA	50501	USA	Human Services, Mental Health, Mental Health Treatment, Residential Care & Adult Day Programs	To provide direct services in assisting young people and their families who are in or on the verge of problems and to find individually and socially acceptable solutions.	The program service activity provided is the housing and counseling of youth. Delinquency prevention and correction services are provided in such a manner as to keep within the community the responsibility for and solution to youth problems.				
4-H Clubs & Affiliated 4 H Organ	http://		EIN 42-1385244	Rt 2 B254	Adair	IA	50002	USA							
Magical Mix Kids	http://www.magicalmixkids.org	(319) 277-1918	EIN 42-1491936	721 Shirley St	Cedar Falls	IA	50613	USA	Health, Patient & Family Support, Unknown	To provide a worry-free vacation for chronically and terminally ill children of northeast iowa.	Provide vacation trip for chronically or terminally ill children and their families for over 125 people.				
Houshold Of Faith Faith Evangelcal Charismatic Fellowship	http://		EIN 42-1173720	Rr 2 Box 78 Telegraph Rd	Blue Grass	IA	52726	USA							
Mayors Youth Empowerment Program	http://www.mayorsyouthempowermentprogram.com	(319) 341-0060	EIN 42-1444335	407 Highland Ct	Iowa City	IA	52240	USA	Employment Preparation & Procurement, Job Training	Myep exists to provide advocacy and support to at-risk youth, children and adults with disabilities who face barriers to independence, and resources to their families.	Employment transition assistance- employment transition assistance is provided to persons who primarily are developmentally disabled. The organization provided 96,887 units of service during the year.				
The Housing Fellowship	http://www.housingfellowship.com	(319) 358-9212	EIN 42-1362432	322 E 2nd St	Iowa City	IA	52240	USA		To provide quality homes that are affordable to people with limited incomes.	The fellowship managed 163 units of affordable housing in the iowa city area, housing 596 persons. It received and processed 127 applications for housing, and issued 8 loans for individuals needing to make security deposits. In addition, it completed development activities for 1 tax credit partnerhsip.				
Adopt-A-Family Local Foods Connection	http://www.localfoodsconnection.org	(319) 338-2010	EIN 42-1512146	PO Box 2821	Iowa City	IA	52244	USA	Farmland Preservation, Food, Food Programs, Human Services, Nutrition	Local Foods Connection is a non-profit food relief agency based in Iowa City, Iowa.  We purchase food items from local farmers and donate these goods to families whose economic or social status prevent them from enjoying such nutritious, tasty and fresh foods.  We also provide opportunities for our adopted families to visit the farms and to learn healthy cooking methods.	Local Foods Connection works with families who, throughout a four to five month period, are committed to preparing good, healthy meals using our donated produce.  We are matched with families who care about what they eat and the environment in which they live with the help of local charitable, religious, and social service organizations.  Once a family has been adopted, Adopt-A-Family coordinates food delivery, plans a family excursion to one of the farms, and introduces the families to small family farming and sustainable agriculture.	Iowa City, Cedar Rapids and Des Moines, Iowa			
National Traditional Country Music Association	http://www.oldtimemusic.bigstep.com		EIN 42-1193556	Po Box 492	Anita	IA	50020	USA	Alliances & Advocacy, Arts & Culture, Cultural & Ethnic Awareness, Performing Arts Centers	The NTCMA is constantly seeking financial support to not only purchase new building space for the Pioneer Music Museum, but also to further the cause of international interchange between American and foreign performing artists of traditional musical art forms.					
