name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	In-Home Respite Care
Project Hawai'i, Inc.	http://www.HelptheHomelessKeiki.org	808 987 6018	EIN 32-0308897	P.O. Box 1844	Kea'au	HI	96749	USA	Arts & Culture, Arts, Culture & Humanities, Education, Emergency Assistance, Homeless & Housing, Homeless Centers, Human Services	To enhance the lives of homeless children though interactive solutions to help them end the cycle of homelessness.	This is our 15th year on the islands of Hawai'i. Typically each year we are able to help over 1,500 children between the islands of Hawai'i and O'ahu. We have successfully provide holiday meals, parties, gifts, to hundreds living in poverty or homeless situations. Every month we provide emergency care, hygiene, food and clothing to those living homeless along the waters edge and those high in the mountains. This is our 11th year providing the free summer camp educational program. We plan to expand our summer camp to those on the island of Maui  for 2018 as well. Currently, we have our Adventures Abound Day Camp on O'ahu and Edu-Camp Sleep over camp on Big Island. Both these camps are striving to be 100% organic!	Poverty stricken and homeless children living on the islands of Hawai'i. We target unsheltered homeless children between the ages of infancy to 18 years.	We provide services to an average of 1,500 individual children annually. In addition to the children, we provide life changing opportunities to moms enrolled in the first to work program. Helping them develop life and work skills so they can obtain work and employment opportunities to change their lifestyle.	We provide services to the children living in poverty across the islands of Hawai'i (Big Island) and O'ahu	We provide the following Programs: Holiday Parties/Events Basic Life Skills Emergency Services Summer Camp Teen Mentoring Program Healthy Hearts for Homeless Keiki Monthly Giveaways/Outreach Emergency Support Job/Life Training/Skills Volunteer/First to Work Opportunities	
Women Helping Women	http://www.whwmaui.net	(808) 242-6600	EIN 99-0205452	1935 Main Street	Wailuku	HI	96793	USA	Domestic Violence, Family Violence Shelters, Homeless & Housing	To end domestic violence through advocacy, education, and prevention and to offer safety, support and empowerment to women and children, and victims of domestic violence.					Shelter program and task force - provides 24 hour hotline and shelter for victims of domestic violence including food, transportation, counseling, and advocacy in obtaining legal and medical aid.   tro/court advocacy program - assisted victims of domestic violence by preparing restraining orders, accompaniment to court proceedings, and assistance in modifying those orders.   transitions - provide support, assistance and bridges for women employment preparation and transitional housing program.	
Network Enterprise Inc	http://www.networkenterprises.org	(808) 521-7774	EIN 99-0241416	1505 Dillingham Blvd Ste 303	Honolulu	HI	96817	USA	Mental Health, Mental Health & Crisis Intervention	To help those who are physically, psychiatrically, socially, and/or economically disadvantaged to achieve their highest level of personal and economic independence.					Nish program: two federal set-aside programs for job training and employment opportunities for the disabled. Custodial and shelf-stocking service at the commissary - 28 clients served; custodial service at a medical clinic - 6 clients served.   employment programs: provided clients with outreach intake, assessment services, pre-employment and on-the-job training services, vocational counseling, job development & placement services for transitional and supportive competitive placements, follow-up, support and case management services. 138 clients served.	
Hawaii Association Of School Librarians	http://		EIN 52-1353995	Po Box 235284	Honolulu	HI	96823	USA								
Hawaii Summer Symphony	http://		EIN 99-0306934	PO Box 939	Honolulu	HI	96808	USA								
The Kilauea Ohana Playschool	http://		EIN 99-0262919	801 W Hind Dr	Honolulu	HI	96821	USA	Education, Preschools	To provide an introduction to school in a safe, comfortable environment.  Major emphasis is social devepmt rather than academics.  Parent participation & Teacher assistance allows for the maintanence of low costs and control and input of the program content						
Honolulu Community Action Program	http://hcapweb.org	(808) 521-4531	EIN 99-0140622	33 S King St Ste 300	Honolulu	HI	96813	USA		To provide opportunities and inspiration to enable low-income individuals or families to achieve self-reliance.					Head start provides comprehensive early child development for disadvantaged preschool children and their families.   community service block grant provides a wide range of services and activities to alleviate the causes of poverty in the community and provides activities to assist low income persons.   senior community service employment program (scsep) fosters and promotes useful part-time work opportunities in community service activities for low-income persons who are 55 years and older.   job training & other programs	
Kamehameha Schools Association Of Maui	http://		EIN 99-0310234	PO Box 162	Kahului	HI	96733	USA	Education							
Hawaii Geographic Society	http://		EIN 99-0141347	Po Box 1698	Honolulu	HI	96806	USA								
Pacific Housing Oahu Corporation	http://	(808) 523-5681	EIN 95-3257400	888 Iwilei Rd Ste 200	Honolulu	HI	96817	USA	Homeless & Housing, Senior Citizens Housing & Retirement Communities, Seniors	To provide affordable housing opportunities to low income persons and to carry out neighborhood revitalization.					The organization operates a low income housing project for low income persons, elderly, and persons with disabilities. They also provide facilities and services specifically designed to meet their physical, social, and psychological needs, and promote their health, security, and happiness. Approximately 30 people benefited from the service provided.	
Friends of Volunteers Initiative Nepal (FVIN)	http://www.friendsofvin.org		EIN 27-3321532		Haiku	HI	96708	USA		To raise funds, awareness, and otherwise support programs to empower marginalized  communities in Nepal, with a focus on women and children, through enhanced educational programs and community training to promote equality, economic well-being, and basic human rights.	We are currently running a year-end fundraiser to sponsor education for disadvantaged girls in rural Nepal. Check it out and join the fun at www.crowdrise.com/sponsoreducation	Looking for volunteers specifically in these categories: 50+, Seniors, Gap Years, Working Professionals		Rural Nepal	Volunteer in Nepal Sponsor Volunteers Initiative Nepal Sponsor education for women and children	
Malulani Hale	http://	(808) 593-2157	EIN 51-0145260	5o S Beretania Street C 101	Honolulu	HI	96813	USA							Operate and maintain housing for the elderly.	
East West Center Foundation 15684001	http://		EIN 99-0253343	Po Box 3708	Honolulu	HI	96811	USA	International							
SONGS OF THE CHILDREN	http://songsofthechildren.org		EIN 99-0327080	92-1064 Palahia st. #9	Kapolei	HI	96707	USA	Arts & Culture, Fund Raising & Fund Distribution, Health, Human Service Organizations, Patient & Family Support, Religion, Religious Film & Video	The greatest need that "SOFC" can fulfill is giving hope to those who feel everything is hopeless, just by having a relationship with Jesus Christ. My testimony of deliverance, healing, and restoration is now a mandate in order to help others with what I have been through. I am a Vietnam Veteran, I was homeless for 13 years, and acoholism and drugs where a part of my every day life. My testimonial will hopefully help many when they read my book which is now available at Barnes and Noble, Amazon.com and Authorhouse Publishing. The title of the book is: "I LOVE YOU, BUT..." by Brother Bob						
Kapila Institute	http://		EIN 45-4568556	1135 Makawao Ave 108	Makawao	HI	96768	USA	Arts & Culture, Arts Education							
Maui Family Support Services	http://		EIN 95-0208152	95 Mahalani St	Wailuku	HI	96793	USA								
Hawaii United Methodist Union	http://		EIN 99-0074364	20 S Vineyard Blvd	Honolulu	HI	96813	USA	Protestant, Religion							
Tensho Kotaijingu-Kyo Hawaiian Division	http://	(808) 841-7162	EIN 99-0115823	888 N King St	Honolulu	HI	96817	USA		The mission of the organization is to spread the teachings of tensho-kotai -jingu and conduct religious ceremonies and activities.					The services and expenditures are to further the teachings of tensho-kotai -jingu and conduct religious ceremonies and activities.	
442nd Regimental Combat Team Foundation	http://	(808) 949-7997	EIN 99-0306670	933 Wiliwili Street	Honolulu	HI	96826	USA	Education, Scholarships, Scholarships & Student Financial Aid						The foundation continued its support of the 442nd archives center by granting $16,000 to support the archiving efforts and nisei legacy center.	
Soroptimist International Of Waikiki Foundation	http://www.soroptimist.org	(808) 592-2000	EIN 99-0245508	Po Box 1615	Honolulu	HI	96806	USA	International, International Relief, Women, Womens Service Clubs	The organization was formed for its members who are business and professional women to provide volunteer services to their communities. These members work toward improving the lives of women and girls through community based and international projects.					Living your dream award. Scholarship program for adult women and youth education, and violet richardson award given to a young woman between 14-17 years old, who volunteers in her community or school, and the ruby award was given to a woman helping other women.   grants given to domestic violence action center and to pacific alliance to stop slavery, and grant given to ho'ola napua,a local hawaii non-profit organization whose mission is to build and operate a facility to provide for female sex trafficking victims in hawaii.   educational grants to sacred hearts academy for maths and science symposium, various club activities.   founder region fellowship award and donations to affiliated organizations	
