name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year	Education 	Improving Grades & GPAs:	Improving Physical Fitness & Health:	Juvenile Drop out Prevention:	Activities that Strengthen Families
The Grey Muzzle Organization	http://www.greymuzzle.org	(919) 529-0309	EIN 26-1965495	14460 New Falls of Neuse Rd 149-269	Raleigh	NC	27614	USA	Animal Protection & Welfare, Animals	The Grey Muzzle Organization improves the lives of at-risk senior dogs by providing funding and resources to animal shelters, rescue organizations, sanctuaries, and other non-profit groups nationwide.  We are a virtual organization with volunteers around the country working to help senior dogs nationwide.	Since 2008, we have awarded over $250,000 in grants to various rescues and shelters nationwide.  We are a virtual organization with volunteers located all over the country.		Nationsl	Medical Care Programs, Hospice Programs, Long-term Foster Care Programs, Senior Dog Therapy Training Program, Seniors for Seniors Adoption Program, Orthopedic Bed Fund Program, Education and and Community Programs						
East Carolina University Educational Foundation Inc	http://		EIN 56-6061192	351 Ward Sports Medicine Bldg	Greenville	NC	27858	USA	Sports											
Respite a Centre for Grief & Hope Inc	http://www.TheRespite.org	704-372-4010	EIN 27-5016224	4919 Monroe Rd	Charlotte	NC	28205	USA	Counseling, Mental Health	In an atmosphere of dignity and respect for the grief process, The Respite helps people, regardless of socio-economic status, who have suffered a significant loss in any form to reclaim a healthy and productive life.  We provide a safe haven, a supportive community, and take a holistic approach that offers a variety of healing modalities (mind, soul and body) to empower individuals and families. Our vision is to shift how grief is viewed in the world - moving from shame and isolation to unveiling (or mining) grief's transformative gifts. We welcome grief and provide hope for tomorrow.	The Respite proudly opened its doors this past September of 2011, and since has served many individuals coping with grief through support groups, workshops, therapeutic art classes, grief massage, virtual classes, and author events. We also held our first Hope & HeARTS Gala in March, which brought out many wonderful supporters. We are continuing to spread awareness of our services through news media such as radio, newspaper, and magazine articles that speak of the important work we have been bringing to the Charlotte community and surrounding areas.	Adolescents, Adults, Elders, Veterans, Military Families	Charlotte, NC and surrounding areas, we also serve people internationally through our Virtual Classes on our website	Soul Widows, Military Wives/Mothers Support Group, SoulCollage Therapeutic Art, Grieving Teens Support Group, When Memories Fade - Losing a Loved One to Alzheimers or Dementia, Yoga for Grief & Hope, Grief Massage, Open Hearts Support Group, VIrtual Classes						
Triangle Wildlife Rehabilitation Clinic	http://trianglewildlife.org	(919) 544-3330	EIN 27-0519202	1417 Seaton Rd	Durham	NC	27713	USA	Animals, Wildlife Preservation & Protection	Rescue rehabilitation and release of native north american wildlife providing public with a resource for advice concerning wildlife issues				Admitted 2004 for rehabilitation  fielded 4400 calls dispensing advice on wildlife issues						
Campbell Lee Tree Of Life Family Care Home Inc	http://		EIN 47-2493727	3204 Huntleigh Dr	Raleigh	NC	27604	USA	Community & Neighborhood Development, Economic Development											
With Love From Jesus Ministries	http://www.withlovefromJesus.org		EIN 56-2271441	Po Box 37713	Raleigh	NC	27627	USA	Food, Food Banks & Pantries, Protestant, Religion, Thrift Shops	Our mission is to cooperate with the Holy Spirit in building the Kingdom of God through a lifestyle of living and giving Jesus.										
Henderson Community Concert Association	http://		EIN 56-1429586	Po Box 1237	Henderson	NC	27536	USA	Arts & Culture, Music											
NCCJ of the Piedmont Triad	http://www.nccjtriad.org	336-272-0359	EIN 06-1753756	713 N Greene St	Greensboro	NC	27401	USA	Civil Rights, Intergroup & Race Relations, Race	NCCJ's mission is to build a community free of bias, bigotry and racism.		Youth and adults		ANYTOWN, ANYDAY, Interfaith Tour, Interfaith Study Mission to Israel, Youth Leadership Conference	3,000 youth and adults					
Farmer Foodshare Inc	http://www.farmerfoodshare.org		EIN 27-3727889	PO Box 9002	Chapel Hill	NC	27515	USA	Agricultural Programs, Economic Development, Food, Food Programs											
Learning Outside Inc.	http://www.learningoutside.org	919 932 0322	EIN 45-2686552	2912 B Jones Ferry Road	Chapel Hill	NC	27516	USA	Arts & Culture, Arts Education, Education, Environment, Environmental Education, Preschools	Learning Outside's mission is to provide children with quality outdoor experiences that enhance their lives and learning, instill a love of the natural world and promote lifelong stewardship.  Key to our mission is serving individuals who do not have ready access to quality outdoor learning experiences.	Since 2009, Learning Outside has provided thousands of children with quality outdoor learning experiences.	Children ages 3 to 14	Orange, Durham, Chatham, Alamance and Wake Counties, North Carolina	Forest Kindergarten,  After School Programs, Summer Camps, Outdoor Learning	430 children					
New City Christian School	http://newcitychristian.org	(828) 252-8173	EIN 14-1921757	Po Box 6412	Asheville	NC	28816	USA	Education, Elementary & Secondary Schools, Literacy	New city christian school exists to provide a full-day academic program to students from				Provided a full-day academic program to 75 students not succeding in traditional public schools for grades k-6. (1)this was new city christian school's third year on a new campus, there was much work put into forming new relationships and establishing new boundaries. We were able to establish a new sense of belonging to our school families. (2) while there are many things yet to accomplish with the addition of the 6th grade, there was a great amount of collaborative effort put into instilling knowledge, confidence and hope.   (3) we saw our students end the year with great academic/spiritual promise. In general, test scores and grades increased. The students grew in their knowledge of god's love for them. There were many struggles, but we know that each left for the break with a greater sense of our love for them. Again, another step toward our mission being accomplished in the lives of our students.						
