name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Direct beneficiaries per year	Results	DomesticViolence Emergency Shelter
NAMI Acadiana (National Alliance on Mental Illness)	http://www.nami.org	337-504-4752	EIN 26-1801727	P O Box 51905	Lafayette	LA	70505	USA		To improve the lives of those affected by mental illness.	Acadiana (7 parishes including and surrounding Lafayette)	Education: 1.  NAMI Family to Family course - 12 weekly classesfor fmly members of adult individuals with mental illness led by 2 trained fmly members; Basics course - 6 weekly classes led by 2 trained fmly members for parents of children & adolescents with emotional problems and/or mental illness; Peer to Peer - 9 weekly classes led by 2 trained individuals with mental illness for adult individuals with mental illness; In Our Own Voice (IOOV) - 2  1/2 hr presentation presented by 2 trained individuals with mental illness for the public, organizations, etc. 2. NAMI state conference, national convention.   SUPPORT - NAMI Family Support Group held twice a month for family members of adult individuals with mental illness; Connection recovery support group twice a month for individuals living with a mental illness, 6-20 attend; support phone calls accepted.   communications support to family members and individuals with mental illness and the general public and advocacy (includes telephone, email, mail, health fair education booths, etc. )  other support services for families	Those with mental illness, their families, supporters and providers and the community	hundreds of individuals who accessed our support phone line; 36 family members who attended the Family to Family class; attendees at the Family Support Group (12-20 each bimonthly group) and Connection Recovery Support Group (6-20 each bimonthly group), NAMI On Campus at Univ of LA at Lafayette,  Les Bon Amis Activity Center for individuals with mental illness,  our community by attending health fairs providing educational material and knowledge of NAMI programs, etc., by providing the awareness & fundraising NAMIWalks and by actively attending forums, etc. related to improving the lives of those affected by mental illness.	Offering hope and help to those in crisis and continuing struggle with mental illness issues	
Wishing Well Foundation Usa Inc	http://www.wishingwellusa.org		EIN 72-1297795	Po Box 1554	Marrero	LA	70073	USA	Gift Distribution	Wishing well foundation usa inc was organized for the purpose of fulfilling the fondest wish for any terminally ill child not expected to reach 18 years of age		Provided fondest wishes for 5 children under the age of 18, including trips to disney world, a caribbean cruise, and a birthday party and shopping spree				
Central Louisiana Arts and Healthcare, Inc.	http://www.artsandhealthcare.org	318-769-7602	EIN 61-1509687	PO Box 12802	Alexandria	LA	71315	USA	Arts & Culture, Arts & Humanities Councils & Agencies, Breast Cancer, Education, Health, Rehabilitative Care	We provide innovative arts experiences in healthcare settings to promote healing for patients, respite for family members and stress relief for medical personnel.	Central Louisiana	Rotating art galleries; art carts with creative art projects; LobbyArts (live performances); Annual Doctors' Day Follies and Art Exhibit; Medical Humor Gala; Breast Cancer Awareness event; Alzheimer's Awareness Event; Arts Ala Carte (bringing performance into hospital rooms via live performance videos); Legacy Project (arts for seniors); Arts in the Cancer Center	Anyone in a hospital or healthcare facility where we offer services whether a patient, a caregiver or a visitor	thousands	Currently offer programming at two major hospitals; an orthopedic clinic and an adult daycare	
Land Trust For Louisiana	http://		EIN 35-2239029	Po Box 1636	Hammond	LA	70404	USA	Education, Educational Services							
Kiwanis Club of Lafayette Foundation	http://www.lafayettekiwanis.org	(337) 232-5182	EIN 27-4724547	PO Box 52802	Lafayette	LA	70505	USA	Children & Youth, Children & Youth Services	Kiwanis is a global organization of volunteers dedicated to changing the world, one child and one community at a time. The kiwanis clubof lafayette (established 1944) established the kiwanis club of lafayette foundation to help raise funds to further this mission.		The healthy living club is the name of the 3-year program that the kiwanis club of lafayette foundation has embarked on as a recipientof a $1m challenge for a healthier louisiana grant funded by the blue cross and blue shield of louisiana foundation. Bcbs grant income - $477,682salaries expense - $71,167fringe benefits - $18,819equipment - $254,670materials & supplies - $12,839travel - $1,298communications - $26,790direct costs - $10,979indirect costs - $7,777  some of the programs that the kiwanis club of lafayette foundation sponsors are: operations magi, spelling bee, and bringing up grades, and wheels of wonder. Bringing up grades awards elementary school students' achievements. Spelling bee program sends a student spelling bee champion to washington dc to represent acadiana in a national spelling bee competition. Bringing up grades - bug (spark) - $1,240spelling bee (spark) - $995				
League Of Women Voters Of Louisiana Education Fund Inc	http://		EIN 58-1636800	Po Box 5493	Covington	LA	70434	USA								
Pta Louisiana	http://www.lapta.org/		EIN 72-0944256	Mansfield K-2 Pta 1915 McArthur Dr	Mansfield	LA	71052	USA	Education, Parent & Teacher Groups	The mission of the Lousiana PTA is to support and speak on behalf of children and youth in the schools, in the community, and before governmental agencies and other organizations that make decisions affecting children; to assist parents in developing the skills they need to raise and protect their children; to encourage parent and public involvement in the public schools of this nation.						
Holy Cross Child Placement Agency Inc	http://		EIN 72-1027126	3218 Line Ave Ste 101	Shreveport	LA	71104	USA	Adoption, Children & Youth	SUPPORT SERVICES FOR ADOPTION						
Patrons Of The East Baton Rouge Parish Public Library	http://	(225) 231-3705	EIN 58-1847124	7711 Goodwood Blvd	Baton Rouge	LA	70806	USA	Education, Libraries	Support of the ebr parish library		Popl funded the annual author/illustrator program, a program for people interested in children and yound adult authors and illustrators.   popl helped fund the annual summer reading program, a program to improve and enhance reading skills of children, young adults and adults  popl helped fund an outreach program "live at chelseas", a monthly jazz concert offered free to the public and featured local jazz talent.				
Project Learn - Laterre	http://		EIN 27-2975867	161 Magnolia Courtyard	Houma	LA	70364	USA	Human Service Organizations	Promote literacy		Pormote literacy throughout the target population inclusive of all residents from pre k to seniors provide literacy cources life and job skills computer and ged prep classes				
Sons Of Confederate Veterans Inc	http://		EIN 58-1809540	908 Henning Rd	Sulphur	LA	70665	USA								
American Association Of Kidney Patients Inc	http://		EIN 72-1133520	2620 Centenary Blvd Ste 110	Shreveport	LA	71104	USA								
Narconon Louisiana New Life Retreat	http://	(225) 243-5047	EIN 20-4122923	35059 Bend Rd	Denham Spgs	LA	70706	USA	Mental Health, Substance Abuse Treatment	A drug and alcohol rehabilitation program through withdrawal and educational residential program.		Narconon louisiana new life retreat has continued providing treatment to those suffering from alcohol and drug abuse. They have expanded their capacity to over 40 plus clients ( inpatient and outpatient). Narconon louisiana also has a mentoring program which helps prepare the narconon graduate to re-enter society in a productive capacity. The program averages three to six months and has a proven success rate and the graduates are contacted for months after completion to ensure their stability and success in life.				
Chi Alpha College Ministries	http://		EIN 58-1942344	45300 N Baptist Rd	Hammond	LA	70401	USA								
Catholic Church Of The Americas	http://		EIN 72-1337663	717 Patterson Dr	New Orleans	LA	70114	USA								
Lafayette Suzuki Society	http://		EIN 72-1095444	600 Jefferson St Ste 1000	Lafayette	LA	70501	USA								
Ministry Of Reconciliation Fellowship Inc	http://		EIN 72-1227444	5595 Hermitage Dr	Baton Rouge	LA	70806	USA	Protestant, Religion							
Louisiana Art And Science Museum In C	http://www.lasm.org		EIN 72-0542138	Po Box 3373	Baton Rouge	LA	70821	USA	Art Museums, Arts & Culture, Education, Science & Technology Museums, Visual Arts	The Louisiana Art & Science Museum seeks to enhance the understanding and appreciation of art and science for general audiences and students by presenting unique, educational, and entertaining programs that inspire creativity and foster the pursuit of knowledge.						
Independence Bowl Foundation	http://www.independencebowl.org	(318) 221-0712	EIN 72-0927228	401 Market St Ste 120	Shreveport	LA	71101	USA	Amateur Sports, Sports	The advertising and promotion of amateur sports in the shreveport-bossier city, la area through its volunteer committees and memberships.		The organization serves amateur athletics in the shreveport-bossier city, la area through support and promotion of such events with membership volunteers.				
Amyotrophic Lateral Sclerosis Association	http://www.alsa.org/		EIN 91-1950873	PO Box 6075	Metairie	LA	70009	USA	Health, Nerve, Muscle & Bone Diseases, Voluntary Health Associations & Medical Disciplines	The Amyotrophic Lateral Sclerosis Association (ALSA) was founded in 1985. The mission of ALSA is to find a cause and cure for ALS (commonly referred to as Lou Gehrig's disease) and to improve the quality of life for those living with the disease.						
Green Light New Orleans	http://www.greenlightneworleans.org	5403242429	EIN 20-8151937	8203 Jeannette Street	New Orleans	LA	70118	USA	Community & Neighborhood Development, Economic Development, Energy Resources Conservation & Development, Environment, Philanthropy, Voluntarism Promotion	Green Light New Orleans invests energy in people by assisting New Orleans residents in person, one household at a time. Our volunteers install free energy efficient light bulbs and backyard vegetable gardens to demonstrate that a mass movement of individual actions creates a significant impact on our environment and community. We connect New Orleans residents to relevant, local opportunities and encourage individual actions so that everyone can benefit from a vibrant, resilient, and sustainable community.	The Greater New Orleans Area	installing free energy efficient light bulbs and free backyard vegetable gardens to lower our carbon footprint, create a budget reduction, provide access to healthy food and build community.	the environment and the community	4000 families	Green Light New Orleans supports local families by helping them take actions that conserve energy and make their homes more sustainable, lowering monthly bills and improving the shared environment. Founder and Executive Director Andreas Hoffmann started Green Light in 2006 as a way to offset the carbon footprint of his touring band. What began as a small project has grown to engage over 23,000 New Orleans households and over 12,000 volunteers in the local fight against global climate change. To date, Green Light has built 120 backyard vegetable gardens and installed 500,000 energy efficient light bulbs, saving residents $23 million in utility costs and preventing 223 million pounds of carbon dioxide from being released into the atmosphere.*  In addition to its free backyard vegetable garden and energy efficient light bulb programs, Green Light makes an impact through a diverse array of services. Green Light has signed thousands of residents up for the citywide curbside recycling program; distributes air filters to promote indoor air quality and energy efficiency; provides smart strips to combat phantom power; refers residents to the New Orleans Fire Department to receive free smoke detectors; runs an energy efficient light bulb program for small businesses; engages hundreds of local college and high school students in service learning and internship programs; and mobilizes thousands of volunteers each year in the fight against climate change.  *Impact data updated 5/28/14	
