name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Direct beneficiaries per year	Geographic areas served	Programs	Results		We Provide Essential Resources.	We Advocate for Change.	We Counter the Marriage-Only Movement.	We Educate People About the Issues.	Honor Them Foundation, Inc. 	All gave some and some gave all.
Oroville Auxiliary 3865 Fraternal Order Of Eagles	http://	(509) 476-3039	EIN 31-0965800	Po Box 1879	Oroville	WA	98844	USA	Fraternal Societies	To provide a place for members to congregate, socialize, and meet. To provide assistance to people in need. We ar people helping people.				To provide: a place to congregate, socialize and meet, food & beverages, leisure activities for meebers and occasional guests.								
Bridge Disability Ministries	http://www.bridgemin.org	425-885-1006	EIN 91-1383241	12356  Northup Way Suite # 103	Bellevue	WA	98005	USA		In our mission to alleviate isolation for persons with physical and/or developmental disabilities, our programs and services exist to: Improve Mobility / Promote Inclusion / Enrich Community For over 20 years, together with caring donors, churches and community partners, we have been building relationships...guarding the vulnerable, providing free wheelchairs and other items to those in need.	Low & moderate income Adults (18 years and up) with disabilities and their families. Seattle Washington area - King Snohomish & Pierce Counties.		Seattle and surrounding communities	Services to people with mental and/or physical disabilities and their families, including guardianships, assessments, referrals and education.	In 2009 we held 15 Spiritual cares events in partnership with Churches and comminity centers. Offering Spiritual connection, relationship opportunities, meals & music, and more to 2500 guests. We recycled Durable medical goods, wheelchairs, etc for over a 1000 families locally and a similar number shared with 8 programs overseas. Value of the equipment exceeds $1,000,000 in retail equivilant. And... we continued to serve as Legal Guardians for 40 idigent developmentally disabled individuals with no family to care for them.							
Christian Ministries In Africa Inc	http://		EIN 31-1679326	Po Box 2759	Kirkland	WA	98083	USA	International, International Relief													
Sumner-Bonney Lake Education Foundation	http://		EIN 30-0128156	1202 Wood Ave	Sumner	WA	98390	USA	Arts & Culture, Arts Education, Education, Elementary & Secondary Schools, Literacy, Scholarships, Scholarships & Student Financial Aid	The Foundation is business, neighbors, teachers, and the community enhancing scholarships, educational enrichment and innovation for the future of our youth.												
Seattle Grace Presbyterian Church	http://		EIN 91-1336742	616 Ne 165th St	Shoreline	WA	98155	USA	Religion, Religion-Related													
Riseup Networks	http://		EIN 20-0394008	Po Box 4282	Seattle	WA	98194	USA	Human Services													
25-40 Foundation	http://	(360) 676-4078	EIN 20-5734304	Po Box 29566	Bellingham	WA	98228	USA	Philanthropy, Private Grantmaking Foundations													
Rehabilitation Research Institute	http://www.rehabilitationresearchinstitute.org		EIN 91-1682988	6920 Roosevelt Way NE # 148	Seattle	WA	98115	USA	Health		disabled folks	hundreds of clients	Seattle	Orthopedic device research, music programs and other great philanthropic projects.  http://www.rehabilitationresearchinstitute.org  www.MobilityMedicalProject.org  http://www.patientsandmusicalopportunitiesproject.org  http://www.seattlepianoyouthorchestra.org								
Active4youth	http://		EIN 20-2744962	Po Box 30501	Spokane	WA	99223	USA	Children & Youth, Children & Youth Services													
Lois Renfro Foundation	http://	(253) 929-8162	EIN 80-0444036	Po Box 2094	Auburn	WA	98071	USA	Counseling, Mental Health	Charitable organization				Reaching out to "at-risk" youth in the auburn, wa community with programs to encourage them to do well in school and to say away from gangs, drugs, and early pregnancy								
Washington First Robotics	http://www.firstwa.org	(206) 418-6492	EIN 45-2443839	21238 68th Ave. South	Kent	WA	98032-1919	USA		To inspire young people to be science and technology leaders, by engaging them in exciting mentor-based programs that build science, engineering and technology skills, that inspire innovation, and that foster well-rounded life capabilities including self-confidence, communication, and leadership.	inspire students, 6-18 years of age to be science and technology leaders	9,000 students participat in the sport of science, technology and teamwork.	Washington state	Junior FIRST Lego League for K-3 grade students, FIRST Lego League for 4-8 grade students, FIRST Tech Challenge for 9-12 grade students and FIRST Robotics Challenge for 9-12 grade students. Washington FIRST Robotics is STEM in action.								
Northshore Community Alliance	http://		EIN 94-3145786	7904 Ne 170TH St	Kenmore	WA	98028	USA														
West Sound Wildlife Shelter	http://www.westsoundwildlife.org	206-855-9057	EIN 91-1481441	7501 Ne Dolphin Dr	Bainbridge Island	WA	98110	USA	Animal Services, Animals, Environment, Wildlife Preservation & Protection, Wildlife Sanctuaries	The mission of Island Wildlife is to respond to calls from Kitsap County and the surrounding areas and to rescue, rehabilitate, and reintroduce all species of injured and orphaned wildlife when possible; and to educate the public about the problems and possibilities of wildlife protection and rehabilitation.	We treat injured, orphaned, and sick wild animals	About 1,000 wild animals treated each year	Western Puget Sound region	Treatment and rehabilitation of sick and injured wildlife  educational presentations and information to the general public relating to wildlife and the rehabilitation of wildlife								
VOICES OF HOPE	http://voicesofhopeafric.org	(509)438-7898	EIN 27-0518368	PO Box 6563	Kennewick	WA	99336	USA	Philanthropy	Voices of Hope is a non-profit organization that provides safety and educational opportunities to vulnerable Maasai post high school young women in the Central Division of Kajiado District in Kenya who are facing female genital mutilation and forced marriages.	Young girls that have managed to escape genital mutilation and forced marriages by attending charitable primary and secondary boarding schools have no means of safety nor possibility of post-secondary education after high school. As a result, they often return to their villages to endure genital mutilation and forced marriages; or they seek refuge in the city. With no marketable skills or training and no means to support themselves, they are often sexually exploited, become prostitutes, and fall victim to HIV/AIDS.	There are currently 9 students enrolled in the Voices of Hope Program with hundreds of young girls/women still waiting for sponsors.		Program activities include education and safe housing	Since its establishment in 2003, Voices of Hope has Voices of Hope has supported thirty seven young Maasai women in attaining their college education.  These young women had no previous means of continuing their education and were in danger of going through genital mutilation and arranged marriages. As a result of the intervention of Voices of Hope, they are now either employed or enrolled in colleges and local universities throughout Kenya.   In addition to obtaining education that leads to gainful employment , these young women are also being empowered to become change agents and positive leaders in their community.							
