name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Target demographics	Geographic areas served	Programs	Mission	Results	Direct beneficiaries per year
St Vincent De Paul Charitable Assoc	http://		EIN 05-0267179	85 Tremont St	Central Falls	RI	02863	USA	General Hospitals, Health						
Kids Klub Inc	http://www.kidsklubri.com	(401) 723-2277	EIN 05-0427008	203 Concord St Unit 301	Pawtucket	RI	02860	USA	Children & Youth, Children & Youth Services			To provide daycare and educational services for children.	Kids klub, inc. Meets the needs of families by providing quality care and education for children. It provides a safe and supervised environment with activities that enhance the student's physical, emotional, social and cognitive development.		
Massasoit Historical Association Of Warren Rhode Island	http://www.massasoithistorical.org	(401) 282-1418	EIN 51-0152830	Po Box 203	Warren	RI	02885	USA				Maxwell house preserved and held open to the public for museum tours during the year.	Preservation of maxwell house, the oldest brick dwelling in warren, ri, and history of warren ri.		
Frontlines Missions And Ministries Inc	http://		EIN 05-0484988	Po Box 113990	N Providence	RI	02911	USA	Christianity, Religion						
Institute For Human Development, Inc.	http://		EIN 05-0396562	Post Office Box 899, Old Post Road.	Charlestown	RI	02813	USA	Community Mental Health Centers, Mental Health						
Rhode Island Tutorial & Educational Services	http://www.ritutorial.org	401-723-4459	EIN 26-1224086	334 East Avenue	Pawtucket	RI	02860	USA	Education, Literacy, Remedial Reading & Encouragement	Rhode Island and Southeastern Mass. K-12 students and adults with learning difficulties, such as ADHD, Dyslexia, NLD, and language processing.	Rhode Island and Southeaster Massachusetts	Orton-Gillingham, a researched proven method for teaching reading, writing and spelling, we increased students' reading levels.			
Spurwink-Ri	http://spurwinkri.org	(401) 781-4380	EIN 01-0370716	1 Spurwink Pl	Cranston	RI	02910	USA	Mental Health, Residential Mental Health Treatment			Spurwink school - operates a year round national council on the accreditation of special education services (ncases) accredited special education and treatment program for children from elementary through high school level with behavioral and/or learning disabilities. In addition, spurwink school provides vocational and school to career services. During 2014, spurwink school provided special education, treatment, school to career and vocational services to 45 children.   adult program - spurwink/ri operates medicaid approved residential facilities and community-based supported living throughout rhode island for adults with dual diagnosis referred by the rhode island department of behavioral healthcare, developmental disabilities and hospitals (bhddh). The program provides participants with intensive mental health services, clinical supports, daily living skills, leisure skills, and social skills, vocational, day services and supported employment. During 2014, spurwink/ri provided residential and supportive services to 47 adults.   the family support center - provides behavioral health counseling to adults with developmental disabilities and mental health disorders, family stabilization and preservation services, specialized parent training, and family education and support services to persons with disabilities who live in the community. During 2014, spurwink/ri provided in home and support services to over 171 individuals and families. Voclinks - spurwink/ri provides supported employment, employment placement, school to career, and vocational services for adolescents and adults with disabilities. Spurwink/ri provided voc-link's support services to 50 individuals during 2014. On june 24, 2010, the council on accreditation (coa) approved the accreditation of spurwink/ri through june 30, 2014. Spurwink/ri received the approval of a new accreditation that is effective july 1, 2014. This is a total agency accreditation which recognizes spurwink/ri as a provider of high quality services. The accreditation includes the following programs:- family preservation and stabilization services,- group living services,- outpatient mental health services,- services for individuals with developmental disabilities,- vocational rehabilitation services	To assist children & adults with disabilities in pursuing social, educational, vocational and other life enhancing opportunities.		
Rhode Island Public Expenditure Council	http://www.ripec.org	(401) 521-6320	EIN 05-0271571	86 Weybosset St Ste 5	Providence	RI	02903	USA	Public Utilities			The principal purpose of the rhode island public expenditure council is to work with public officials, citizens groups, and other similar organizations to study, evaluate, and make recommendations to improve methods, systems, and procedures of public administration.	Advancement of efficient and economical government for the public interest.		
Preservation Society Of Newport County	http://www.newportmansions.org	(401) 847-1000	EIN 05-0252708	424 Bellevue Ave	Newport	RI	02840	USA	Arts & Culture, Historical Organizations, Museums, Visual Arts			The preservation society of newport county preserves eleven historic mansions, including seven national historic landmarks and eighty acres of parks, gardens and grounds, representing more than 250 years of social and architectural history. During the year, over 817,000 visitors took regularly-scheduled tours of the society's properties to learn about the buildings and the men and women who gave rise to these special places. In addition to general tours, the preservation society offers many other learning opportunities, designed to present its houses and collections to a broad and diverse audience in as many interesting and enlightening ways as possible. These programs include international symposia and forums, study days, lectures, workshops, films, tours, and the opportunity for visitors (cont. On schedule o)to experience the type of grand entertaining for which they were built. Educational programs are offered year-round.	The preservation society of newport county's mission is to protect, preserve, and present an exceptional collection of house museums and landscapes in one of the most historically intact cities in america. We hold in public trust the newport mansions, (cont. On schedule o)which are an integral part of the living fabric of newport, rhode island. These sites exemplify three centuries of the finest achievements in american architecture, decorative arts, and landscape design spanning the colonial era to the gilded age. Through our historic properties, educational programs, and related activities we engage the public in the story of america's vibrant cultural heritage. We seek to inspire and promote an appreciation of the value of preservation to enrich the lives of people everywhere.		
Mccabe Catholic Charities 31-500994	http://	(888) 866-3275	EIN 36-6774682	Po Box 1802	Providence	RI	02901	USA	Human Service Organizations, Human Services						
Charles F Coleman Trust U D Durfee Attleboro Bank	http://	(888) 866-3275	EIN 04-2623200	Po Box 1802	Providence	RI	02901	USA							
Community Resource Center For The Elderly	http://www.grodencenter.org	(401) 941-3900	EIN 05-0369395	129 Baker St C/o Frank Marrow Co	Providence	RI	02905	USA	Human Services, Senior Centers, Seniors			Services provided to senior citizens  boutique/snack bar/fund for community progress/misc	Services to senior citizens		
Water For Cambodia A Middletown Rotary Charitable Trust	http://www.waterforcambodia.org	(401) 683-3081	EIN 31-1630212	Po Box 4258	Middletown	RI	02842	USA	Economic Development, Education, International, International Economic Development, Microfinance, Rural Economic Development, Scholarships, Scholarships & Student Financial Aid			Provided over 16000 biosand filters to reduce gastro intestinal illness in the siem reap area of cambodiea in south east asia. Over 100,000 people have benefited.	To provide funding for educational and health services in cambodia.		
