name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Results	Target demographics	Geographic areas served	Programs	Direct beneficiaries per year
Joy Child Care Center	http://		EIN 92-6011664	10111 E Eagle River Loop Rd	Eagle River	AK	99577	USA							
Seldovia Oil Spill Response Team	http://	(907) 234-7400	EIN 92-0132791	Po Box 194	Seldovia	AK	99663	USA	Environment,Pollution Abatement & Control	Environmental protection				To serve as a community-based response team dedicated to protecting the environment through oil spill education, prevention, preparedness and response.	
Christian Life Fellowship Inc	http://		EIN 92-6010799	Po Box 6431	Anchorage	AK	99506	USA							
Association Of Alaska School Board	http://www.aasb.org	(907) 463-1660	EIN 92-0098760	1111 W 9th St	Juneau	AK	99801	USA	Education,Elementary & Secondary Schools,Literacy	The mission of aasb is to advocate for children and youth by assisting school boards in providing quality public education, focused on student achievement, through effective local governance.				Core support services program - aasb provided conferences and workshops during 2014 to assist school districts throughout the state of alaska on a wide variety of issues including the following:conferences & training - annual conference with 265 school board members, superintendents, administrators, 100 students and others. This gathering brings together most of the education leaders and school board members in the state providing them exposure to renowned speakers and education clinics; leadership conference with 99 school board members, superintendents and administrators, 49 students and chaperones attending. Helps board presidents and officers develop communication skills to become a more effective and productive leader; legislative fly-in's-65 school board members and superintendents attending. Assists school board members and superintendents to understand the basics of the legislative process. Boardsmanship academies - 125 school board memebers and superintendents attended. Topics inlcude: school law, school finance, policy development and curriculum as well as workshops to improve knowledge of issues effecting schools in alaska. Customized workshops - 13 districts served. Aasb provides in-district workshops on topics such as teamwork, board/superintendent relations, school board self-evaluation, and goal setting. School climate and connectedness survey (sccs) - 26 districts and 4 agencies participated. A useful tool for schools looking to strengthen their overall climate and connectedness, improve their approach to increasing student achievement, and help kids succeed beyond the classroom.  the association of alaska school boards consortium for digital learning program provides digital learning environments to school district throughout the state, approximately 32 of 53 school districts and over 12,500 students in over 145 schools statewide received assistance designed to achieve maximum success through planning, professional development, technical assistance, computer hardware, software and project management during 2014.  the alaska initiative for community engagement (alaska ice) serves as the youth advocacy branch of the association of alaska school boards. Through the 40 developmental assets and various community engagement efforts, alaska ice works to give alaskans at the local level the information, tools and assistance to work together and engage in the shared responsibility of preparing alaska's children and youth for the future.  intervention - this program, funded by an agreement with the state of alaska department of education and early development, division of teaching and learning support, is to assist school boards in making good use of their governance role and responsibilities to improve student achievement, and in turn, remove their districts from corrective action status.	
Juneau Hospice Foundation	http://		EIN 91-1826411	222 Seward St Ste 205	Juneau	AK	99801	USA	Human Services	FOR THE SUPPORT AND BENEFIT OF END OF LIFE CARE INCLUDING HOSPICE AND BEREAVEMENT SERVICES.					
Civil Air Patrol 50009 Fairbanks Composite Squadron	http://www.capnhq.gov/		EIN 23-7561715	P O Box 83332	Fairbanks	AK	99708	USA	Disaster Aid,Disaster Preparedness & Relief Services,Human Service Organizations,Human Services	For more than 50 years, the Civil Air Patrol has aggressively performed the missions Congress mandated in 1946: Aerospace Education, Cadet Programs, and Emergency Services.					
Armed Services Ymca Of The Usa	http://		EIN 92-0016680	Po Box 6272	Jber	AK	99506	USA	Human Services,Military & Veterans Organizations,Physical Fitness & Community Recreational Facilities,Sports,Veterans,Young Mens or Womens Associations						
Lady Cougar Softball Booster Club	http://		EIN 92-0146170	Po Box 113352	Anchorage	AK	99511	USA	Children & Youth,Youth Development Programs						
Alaska Christian Family, Inc.	http://		EIN 92-0159718	PO Box 210124	Anchorage	AK	99521	USA	Protestant,Religion						
South East Alaska Land Trust	http://www.southeastalaskalandtrust.org/	(907) 586-3100	EIN 92-0156402	119 Seward St Ste 2	Juneau	AK	99801	USA	Environment,Land Resources Conservation	The southeast land trust cooperates with communities,landowners, and others to ensure that habitat, recreation, open space, and historic areas remain in place for the well-being of each generation.				In 2014, seal trust successfully completed two conservation easement projects and one fee simple acquisiton, totaling 164 acres. Project development includes: prioritization mapping projects, conservation site selection, due diligence, and acquisition of conservation easement or fee simple properties, including those acquired with funding from developers paid to southeast alaska land trust via their in-lieu fee agreement with the army corps of engineers. This program also includes outreach and communication with landowners, site visits, report preparation, and negotiations with landowners.  in 2014, seal trust worked on its multi-year community coastal impact assistance program (ciap) grant. Through this grant, seal trust is working to develop a uniform wetland assessment tool to minimize losses of specific wetland functions. Seal trust is developing, field testing, and implementing a region-specific freshwater wetlands and intertidal assessment tool and credit-debit method for use by seal trust, regulatory agencies, natural resource professionals, communities, and developers throughout southeast alaska's coastal rainforest.  as of the end of 2014, seal trust has protected 25 properties consisting of 3,313 acres, located in juneau, haines, kake, sitka, farragut bay, and excursion inlet. Stewardship includes management of 11 fee simple properties currently owned by southeast alaska land trust and monitoring 14 conservation easements held by southeast alaska land trust, including meetings with landowners.  stewardship - sealtrust holds lands or conservation interests (conservation easements) in lands throughout southeast alaska. We routinely monitor these lands to insure that the conservation values remain intact and that any use of the lands is consistent with its documented permissible uses. We conduct management activities on fee simple lands as needed.	
Cape Decision Lighthouse Society	http://		EIN 31-1591643	224 Katlian St	Sitka	AK	99835	USA	Arts & Culture,Historical Organizations						
Goldenview Parent Teacher Student Association	http://www.alaska.net/~akpta/		EIN 91-1794839	15800 Golden View Dr	Anchorage	AK	99516	USA	Education,Parent & Teacher Groups	The Alaska Congress of Parents and Teachers (the Alaska PTA) is a branch of the National PTA, a nonprofit organization which seeks to unite the forces of home, school and community on behalf of children and youth.					
St Elizabeth Ann Seton Parish	http://		EIN 92-0122388	2901 Huffman Rd	Anchorage	AK	99516	USA	Religion,Roman Catholic						
Gods Place Mother Lawrence Foundation Inc	http://		EIN 92-0160726	3609 Richmond Ave	Anchorage	AK	99508	USA	Human Service Organizations,Human Services						
Alaska Public Radio Network	http://		EIN 92-0068879	3877 University Drive	Anchorage	AK	99508	USA	Arts & Culture,Radio						
