name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Geographic areas served	Programs	Target demographics	Results	Direct beneficiaries per year	
Young Detroit Builders	http://www.youngdetroitbuilders.org	(313) 964-2763	EIN 38-3136276	1627 W. Lafayette Blvd.	Detroit	MI	48216	USA	Job Training	Young Detroit Builders (YDB) strives to unleash the positive energy of unemployed young adults to rebuild their communities and their own lives with a commitment to work, education, responsibility and family. Here at Young Detroit Builders, we rebuild communities, while transforming lives.	Detroit	GED Exam preparation, academic support, counseling and support services, leadership and employability skills, on-the-job residential construction training and NCCER certification.	helping low-income, young adults work to obtain their GED, continue their education and gain employability skills			
Results Mentoring	http://resultsmentoring.org	(877) 378-5873	EIN 38-3754735	18135 E 9 Mile Rd	Eastpointe	MI	48021	USA	Children & Youth, Counseling, Mental Health, Youth Community Service Clubs	To provide tutorial, guidance and mentoring to children		Mentoring and guidance programs for children				
New Latino Visions	http://		EIN 68-0497803	89 Frisbie Ave	Battle Creek	MI	49037	USA	Arts & Culture, Performing Arts							
Michigan Lyme Disease Association	http://www.mlda.org	1-888-784-5963	EIN 38-2987081	35431 Brush St.	Wayne	MI	48184	USA	Health, Public Health, Specifically Named Diseases	Our mission as the central voice in Michigan is to help prevent Lyme Disease and other Tick-Borne Disorders while helping to support research.  Providing support and education to Lyme Disease patients, caregivers, Health Care Professionals and the general public.	State of Michigan	Educational Lectures to Organizations/Businesses.  Hosting Conferences to Educate Physicians.  Supporting Research efforts.  Setting up educational booths to educate the public.  Setting up support groups to help patients.	with support, education and research on Tick-Borne Diseases.		Research in Michigan, Doctor Education, Public Education	
Greater Flint Arts Council	http://www.greaterflintartscouncil.org	(810) 238-6496	EIN 38-2156116	816 S Saginaw St	Flint	MI	48502	USA		To be a catalyst of and advocate for increased artistic and cultural enrichment of an ethnically diverse community.		Art presentations to the public at various locations.   community art education and coordination.   mcaca regional regranting and regranting to local non profit cutural events and art projects and programs. Also techinical assistance to local artists.				
God's Kitchen - Battle Creek	http://www.godskitchenbattlecreek.org	269-425-8561	EIN 27-4066718	80 E. Michigan Avenue	Battle Creek	MI	49017	USA		To demonstrate our love to God, Jesus Christ and our Brethren by serving a hearty and nutritious meal to the poor.	Metropolitan Battle Creek, Michigan	Dine-In Soup Kitchen and Home Delivered Meals	Hungry, Poor, Homeless, Elderly and Disabled Citizens.	God's Kitchen - Battle Creek has received a Certificate of Congressional Recognition for a year of service to feed the hungry and senior citizens.	34,305 meals served in our first year of service.	
Meadow Montessori School	http://www.meadowmontessori.org/	(734) 241-9496	EIN 38-2550619	1670 S Raisinville Rd	Monroe	MI	48161	USA	Children & Youth, Youth Development - Agricultural	Montessori school		Montessori school maintains a cirriculum of teaching with language arts, geography, history and foreign languages from pre-school to the high school level. Students enrolled in 2012-2013 totaled 175.   day care to provide child care functions incidental to the school function. Children enrolled in 2012-2013 averaged 91 per day.				
Seedlings Braille Books For Children	http://www.seedlings.org		EIN 38-2565354	Po Box 51924	Livonia	MI	48151	USA	Arts & Culture, Children & Youth, Children & Youth Services, Eye Diseases, Blindness & Vision Impairments, Health, Printing & Publishing	Seedlings Braille Books for Children was founded in 1984 by Debra Bonde because braille materials for children were scarce and expensive.  Her goals were to increase the availability and lower the cost of braille books for children in order to promote their literacy skills and the love of reading. Seedlings' ongoing goal is to increase the rate of braille literacy by ensuring blind children access to many of the the same books that their sighted peers enjoy.  By making popular children's books available and affordable in braille, Seedlings offers visually impaired children equal opportunity to develop their literacy skills, and the tools to become lifelong readers and literate adults.						
Michigan Ability Partners	http://www.mapagency.org	(734) 975-6880	EIN 38-2595768	3810 Packard St Ste 260	Ann Arbor	MI	48108	USA	Developmentally Disabled Centers, Disabilities, Human Services	Michigan ability partners (map) partners with veterans and people who have disabilities in support of their self-directed transformation to self-sufficiency.		Vocational services programs provide employment services to individuals with disabilities in the competitive job market and supported employment for persons with severe and/or multiple disabilities.   supportive housing programs offer outreach and case management services leading to stable permanent housing for homeless adults.   washtenaw intergenerational supportive housing (wish) program provides housing assistance for homeless single adults in washtenaw county. The wish program ended in may 2014.   housing operations program provides housing support to assist individuals in obtaining and maintaining housing. Map hdc llc housing development program constructs housing for homeless, disabled and other single audults with the assistance of clients who will live in the projects when completed.				
Artrain Inc	http://www.ArtrainUSA.org	(734) 747-8300	EIN 23-7099789	1100 North Main St Ste 106	Ann Arbor	MI	48104	USA	Art Museums, Arts & Culture, Museums, Visual Arts	Artrain?s mission is to enrich lives and build communities through the arts. We believe that the arts should be available to everyone everywhere.Artrain brings enjoyment, understanding, and awareness of visual art and other cultural exhibitions to a diverse audience across the United States. It encourages the development of local cultural programs and organizations, provides educational programming to schools and increases participation in and support for the arts. The impact of Artrain programs is proven through its nearly 40-year legacy as the catalyst that has started or strengthened hundreds of cultural organizations. It has provided life-changing experiences for participants who have gone on to become artists, museum professionals, cultural volunteers and life-long art enthusiasts.		1. Creative voice - artrain is the project manager and producer of creative voice (formerly criticcar detroit). Creative voice is a media-based arts journalism project that produces and posts video stories about arts and cultural events in detroit and southeast mi on social media. Creative voice highlight reels, in addition to being made and shared free to arts and cultural organizations for promotional use, are posted immediately to youtube and other social media sites for sharing. Creative voice's overarching goals are to: 1) add an important resource to diminishing arts and cultural criticism in the media; 2) cover the creative sector of detroit and southeast michigan, especially the newly innovative offerings; 3) promote the region as a thriving creative center; 4) encourage audiences to try new experiences. Artrain hires emerging videographers and journalists to work with conlin and the creative voice team of producers and editors. Armed with an artrain commissioned creative voice app for the ipad, the team attends cultural events ranging from the experimental to the traditional. In addition to the stories, creative voice video highlight reels add "person-on-the-street" audience commentary to offer authentic views on events. These highlight reels as well as individual audience critiques are posted within 24-hours for viewing and sharing on sites such as youtube - creative voice and facebook-creative voice. Creative voice has covered more than 150 events including: dlectricity, the detroit institute of arts, museum of contemporary art in detroit, detroit design festival, hilberry theatre, the detroit historical museum, mural on the dequindre cut, cinetopia, the ark's storytelling festival, funhouse gallery and art lab j. Detroit public television (dptv) has featured creative voice on its detroit performs program. To date there have been more than almost 40,000 views of more than 1,000 creative voice videos. 2. Strengthening nonprofits, building capacity and making creative dreams come true - artrain is taking its long-term commitment to strengthening local nonprofits to a new level. Since 2012 artrain has been contracted by the arts alliance of washtenaw county to provide administrative and project management services. The organizations share office space, resources and staff. The arts alliance, a young organization, benefits from artrain's administrative expertise and artrain gains an intimate knowledge of local arts agency challenges that enhances its national organizational capacity- building work. Encouraged by this success, artrain resolved to assist other like-minded projects and is offering fiscal sponsorships for worthwhile but vulnerable artistic or cultural programs that are not or may not need to be an independent nonprofit. To date, artrain has helped the selma caf, wonderfool productions producers of festifools and the ypsilanti 24-hour film shoot out. Artrain is presently working with individual artists and visionaries (i. E. Jennifer conlin with criticcar and mark braun of mr. B's joybox express) to help them bring their artistic goals to fruition. 3. An epic journey mr. B's joybox express mississippi river road ride 2014 - 1,840 miles, 80 days in as many towns, more than 23,000 people and hundreds of children were reached during this epic piano-touting, bike- pedaling and music-playing journey. Starting in lake itasca, minnesota on september 1st and ending in new orleans, louisiana on november 18, 2014, mr. B's joybox express, founded and fronted by renowned ann arbor, michigan jazz and blues pianist mark "mr. B" braun, spread the joy of music and movement along every mile. Mr. B teamed up with sam genson, marty stano, jules cunningham and tour manager and artrain program director, shoshana hurand. Motivated by his own involvement with music and sports, braun dreamed of putting a piano on a bike and riding it across the country to spread the joy of music and encourage physical activity. After trial runs in michigan, braun set his sights on the mississippi river corridor. Every obstacle was met including a few wayward armadillos and alligators. Performances at the dakota in minneapolis and preservation hall in new orleans were two of the many, many highlights. The pinnacle of this adventure was the people met on the way, as it is with every artrain touring project. All along the way the team was successful in raising interest in and awareness of blues, jazz, cycling and pursuing personal dreams.				
