name	url	telephone	tax_num	street	locality	region	postcode	country	Causes	Mission	Target demographics	Geographic areas served	Programs	Results	Direct beneficiaries per year
Goodwill Industries Of Akron Inc	http://www.goodwillakron.org	(330) 724-6995	EIN 34-0252230	570 E Waterloo Rd	Akron	OH	44319	USA	Human Services	Goodwill industries of akron, ohio, inc. Is a not-for-profit corporation that helps individuals prepare for, find, and retain employment. Goodwill serves the five-county region of summit, portage, medina, ashland, and richland. Goodwill helps to directly strengthen the region's workforce through its employment programs and indirectly through the net proceeds from its retail outlets and contract services division.			Items are donated from generous donors through its retail stores, attended donation sites and through estate or home pickups . The items are sold in its 13 retail stores, boutique, online through shopgoodwill. Com, ebooks, or auto auctions. Items that do not sell in retail locations are sold through an outlet store. Remaining unsold donations are sold as salvage to keep items from the trash as well as earning dollars to promote the mission. A total of 356 work experience, work adjustment and vocational evaluation clients participated in training or employment experience in the retail area in 2014.   mission services includes a vast array of employee/employer services. For the career/job-seeker the goodwill industries of akron, ohio, inc. Offers career exploration, advising services, resume and interview preparation as well as skill identification. For the business/employer we offer recruiting, applicant screening, and pre-employment testing. For those in need of more intensive services, goodwill offers the following individualized services including assessments, adjustments, evaluations for individuals with visual impairments, job coaching, placement and retention, work experience and youth programs. Workforce development also hosts a radio reading program serving the visually impaired or cognitively challenged in the area. The elizabeth clark program serves those in need in our area with vouchers to our retail locations. During 2014 workforce development referred 380 participants for placement and placed 341. In total, it served 9,381 individuals. Of those 9,381 individuals served, 706 received vocational evaluations, assessments & adjustments; 221 participated in youth programs; 239 in work experience; 4,143 participated in job skill classes & workshops; 583 through job fairs; 51 received job search assistance & coaching; 2,313 received other services including bus passes, elizabeth clark emergency fund gift cards, & radio reading; 784 were helped through employer services, recruitment, screening, testing, training & outplacement.   contract services includes assembly operations and industrial sewing and is certified to iso 9001:2008. It is a participant in the state use program providing items such as safety vests, towels, washclothes, aprons and laundry bags. Its sewing department also offers customized industrial sewing for area businesses. Assembly operations offers local businesses with individualized assembly needs. It offers collating, die-cutting, heat shrinking, packaging, kitting, de-manufacturing, re-work, sorting, labeling and prototyping. 58 individuals in work experience, vocational evaluation, and work adjustment were provided training or employment experience in 2014 through the contracts division.		
New Destiny Treatment Center Inc	http://www.newdestinytreatment.org	(330) 825-5202	EIN 23-7029330	6694 Taylor Rd	Clinton	OH	44216	USA	Crime & Law, Health, Judaism, Mental Health, Prison Alternatives, Religion, Substance Abuse Treatment	To operate a chemical dependency program for the purpose of providing holistic services in a distinctly christian environment to the chemically dependent, by providing for the physical health, emotional well-being, spiritual guidance, and economic improvement of each client			To provide shelter for the homeless and a christian rehabilitation center by providing food, shelter and counseling services for individuals with drug and alcohol problems.		
Save Babies Through Screening Foundation, Inc.	http://www.savebabies.org	1-888-454-3383	EIN 	P. O. Box 42197	Cincinnati	OH	45242	USA	Birth Defects & Genetic Diseases, Health, Medical Research, Pediatrics, Specifically Named Diseases	The mission of the Save Babies Through Screening Foundation is to improve the lives of children and their families, by working to prevent disabilities and death resulting from disorders detectable through newborn screening tests. The Foundation's goal is to see that every baby born in the United States is screened successfully, effectively, and comprehensively. Save Babies Through Screening Foundation educates parents, pediatric healthcare providers, and policy makers about available comprehensive newborn screening, the importance of obtaining positive or other test results requiring follow-up actions within 5 days of birth, and the importance of prompt confirmatory testing and treatment/management when needed.					
Jewish Family Services	http://www.jfscolumbus.org	614-231-1890	EIN 31-4379497	1070 College Ave	Columbus	OH	43209	USA	Human Service Organizations, Human Services	Jewish Family Services helps individuals and families facing lifes challenges.	anyone who walks through our doors	Central Ohio	Career and Workforce Development Programs to assist entry level through professionals to obtain and retain employment.  Counseling, Case Management and Community Support to our local community and focusing on the emerging needs of teens, young professionals, refugees and older adults and their caregivers.	In FY 2012, 538 people obtained employment, 220 families in crisis are rebuilding their lives and 260 Holocaust Survivors are living in dignity.	546 people obtain employment, 377 older adults maintained their independence and ove 25,000 teen girls, moms, educators and mentors hear healthy relationship and empowering messages.
Mental Health Association In Geauga County	http://		EIN 34-1594337	10771 Mayfield Rd	Chardon	OH	44024	USA	Mental Health, Mental Health Associations						
Oasis Animal Shelter	http://oasisanimalshelter.com	(440) 985-2550	EIN 34-1736614	Po Box 11	Oberlin	OH	44074	USA	Animal Protection & Welfare, Animals	Animal shelter			The shelter provides a haven for unwanted animals and provides for their protection and care		
Ohio State Chapter Asa	http://www.autismohio.org		EIN 34-1694514	470 Glenmont Ave	Columbus	OH	43214	USA	Autism, Disabilities, Health	The Autism Society of Ohio also acts as an information clearing house for persons with autism and ASD, their families, and the professionals who serve them in Ohio and neighboring states. An affiliate of the Autism Society of America, the ASO makes information and ideas accessible to interested families and professionals using the following tools:    * The ASO underwrites the ASO Info Line at 330-376-0211 (phone) and 330-376-1226 (fax).    * Bi-annually, the ASO hosts a two-day conference on autism (typically in a central Ohio city) that includes presentations and workshops relating to education, recreation, new or existing therapies, social and family issues, and medical updates.    * The ASO links families into the network of local Autism Society chapters throughout the state.With the aid of many volunteers, the ASO hosts this website to centralize information relating to autism and ASD for persons and families living within Ohio and neighboring states.					
Our English Setter Rescue	http://		EIN 27-1801855	Po Box 708	Hilliard	OH	43026	USA	Animal Protection & Welfare, Animals						
Bradford Ohio Railroad Museum Inc	http://www.bradfordrrmuseum.org	(740) 654-8424	EIN 04-3654171	Po Box 101	Bradford	OH	45308	USA	Arts & Culture, Museums	Preservation & restoration of			Costs incurred to operate a railroad museum and tower to further the entity's exempt purpose of preserving and restoring railroad property and history.		
Navy Seals Fund	http://www.navysealsfund.org	1 888-732-5526	EIN 27-1405731	PO Box 89	Mason	OH	45040	USA	Philanthropy, Public Foundations	Navy SEALs Fund is a non-profit, 501 (c)(3), organization established in December of 2009 by former Navy SEALs. The primary mission of the Navy SEALs Fund is to provide relief through educational and/or financial assistance for current and former SEAL teammates and families. The overall objective is to reduce the financial burden of members of the Navy SEAL Community who are in need of assistance.	US Navy SEAL Community - former, Retired, and Active Duty members and their families.	Brotherhood Beyond Battlefield	Quick Reacting Funding to provide assistance for needs due to a result of injury, loss of life, transitional needs, or some of lifes unexpected events. We work closely with other small military non-profits to ensure the gaps in resources are covered for the US Navy SEAL veterans, active-duty, and their families (spouse, children, parents...).	We are humbled and honored to have assisted Navy SEALs/families whether they are Active Duty, Retired, Veterans of various service lengths, and the families of our Fallen Brothers.	43 US Navy SEALS or their families with monetary gifts for legal, medical, housing, living expenses, or educational needs.
Animal Friends Humane Society	http://www.animalfriendshs.org	(513) 867-5727	EIN 31-0588218	1820 Princeton Rd	Hamilton	OH	45011	USA	Animal Protection & Welfare, Animals	Promote humane principles, protect lost, homeless, abandoned, and mistreated animals, and to act as an advocate for animals in the community.			Maintain shelter and care for county and city stray animals through contracts with county and city governments. Provide shelter and care for owner-relinquished animals. Low cost spay/neuter. Prosecute animal cruelty cases. Shelter and care for animals placed for adoption. Maintain shelter and care for county and city stray animals through contracts with county and city governments. Provide shelter and care for owner-relinquished animals. Low cost spay/neuter. Prosecute animal cruelty cases. Shelter and care for animals placed for adoption. Maintain shelter and care for county and city stray animals through contracts with county and city governments. Provide shelter and care for owner-relinquished animals. Low cost spay/neuter. Prosecute animal cruelty cases. Shelter and care for animals placed for adoption. Maintain shelter and care for county and city stray animals through contracts with county and city governments. Provide shelter and care for owner-relinquished animals. Low cost spay/neuter. Prosecute animal cruelty cases. Shelter and care for animals placed for adoption.   spay, neuter, and veterinary care for animals placed for adoption.		
